version	cc	vec	tcm	turns	signalLen	kernelLen	threads	time(ms)	std(%)
v0	g++	novec	notcm	500	4000	4000	1	12244.7	0.1
v0	g++	novec	notcm	500	8000	4000	2	12264.7	0.1
v0	g++	novec	notcm	500	16000	4000	4	15333.3	0.1
v0	g++	novec	notcm	500	32000	4000	8	14407.7	0.4
v0	g++	novec	notcm	500	56000	4000	14	14944.7	0.9
v0	g++	novec	notcm	500	112000	4000	28	16391.0	2.1
v0	g++	novec	notcm	500	224000	4000	56	19361.0	2.9
v0	g++	vec	notcm	500	4000	4000	1	19958.7	0.1
v0	g++	vec	notcm	500	8000	4000	2	20020.3	0.0
v0	g++	vec	notcm	500	16000	4000	4	25086.0	0.1
v0	g++	vec	notcm	500	32000	4000	8	23076.3	0.2
v0	g++	vec	notcm	500	56000	4000	14	23050.0	1.5
v0	g++	vec	notcm	500	112000	4000	28	24544.3	0.3
v0	g++	vec	notcm	500	224000	4000	56	21098.3	1.1
v0	icc	novec	notcm	500	4000	4000	1	12047.3	0.0
v0	icc	novec	notcm	500	8000	4000	2	12073.0	0.0
v0	icc	novec	notcm	500	16000	4000	4	15101.0	0.0
v0	icc	novec	notcm	500	32000	4000	8	13592.0	0.0
v0	icc	novec	notcm	500	56000	4000	14	12961.0	0.0
v0	icc	novec	notcm	500	112000	4000	28	12567.0	0.0
v0	icc	novec	notcm	500	224000	4000	56	13113.7	0.2
v0	icc	vec	notcm	500	4000	4000	1	2465.3	1.0
v0	icc	vec	notcm	500	8000	4000	2	2603.7	0.5
v0	icc	vec	notcm	500	32000	4000	8	3082.7	0.6
v0	icc	vec	notcm	500	56000	4000	14	2935.0	0.3
v0	icc	vec	notcm	500	112000	4000	28	2895.7	0.4
v0	icc	vec	notcm	500	224000	4000	56	4857.3	0.6
v1	g++	vec	notcm	500	4000	4000	1	9988.3	0.1
v1	g++	vec	notcm	500	8000	4000	2	20071.7	0.0
v1	g++	vec	notcm	500	16000	4000	4	20074.0	0.0
v1	g++	vec	notcm	500	32000	4000	8	20750.7	0.4
v1	g++	vec	notcm	500	56000	4000	14	22053.7	0.7
v1	g++	vec	notcm	500	112000	4000	28	23767.0	0.4
v1	g++	vec	notcm	500	224000	4000	56	20646.7	0.3
v1	icc	vec	notcm	500	4000	4000	1	1260.0	0.4
v1	icc	vec	notcm	500	8000	4000	2	2668.0	0.6
v1	icc	vec	notcm	500	16000	4000	4	2753.3	0.4
v1	icc	vec	notcm	500	32000	4000	8	2738.7	0.2
v1	icc	vec	notcm	500	56000	4000	14	2742.0	0.2
v1	icc	vec	notcm	500	112000	4000	28	2795.0	0.4
v1	icc	vec	notcm	500	224000	4000	56	4835.0	3.2
v2	icc	vec	notcm	500	4000	4000	1	1623.7	0.1
v2	icc	vec	notcm	500	8000	4000	2	3130.3	0.4
v2	icc	vec	notcm	500	16000	4000	4	6186.7	0.1
v2	icc	vec	notcm	500	32000	4000	8	12339.0	0.8
v2	icc	vec	notcm	500	56000	4000	14	21616.0	0.8
v2	icc	vec	notcm	500	112000	4000	28	42745.7	0.0
v2	icc	vec	notcm	500	224000	4000	56	85377.7	0.0
v3	icc	novec	notcm	500	4000	4000	1	1763.3	1.9
v3	icc	novec	notcm	500	8000	4000	2	1653.3	0.2
v3	icc	novec	notcm	500	16000	4000	4	1897.0	2.5
v3	icc	novec	notcm	500	32000	4000	8	2373.0	4.2
v3	icc	novec	notcm	500	56000	4000	14	3208.7	3.5
v3	icc	novec	notcm	500	112000	4000	28	4977.0	1.0
v3	icc	novec	notcm	500	224000	4000	56	12230.0	0.6
v3	icc	novec	tcm	500	4000	4000	1	1709.7	2.8
v3	icc	novec	tcm	500	8000	4000	2	1656.7	0.4
v3	icc	novec	tcm	500	16000	4000	4	1820.3	1.0
v3	icc	novec	tcm	500	32000	4000	8	2305.0	8.7
v3	icc	novec	tcm	500	56000	4000	14	3103.3	2.5
v3	icc	novec	tcm	500	112000	4000	28	4861.3	2.6
v3	icc	novec	tcm	500	224000	4000	56	11080.7	0.4
