sep=,
Name,Bandwidth,Type
DP Vector Add Peak (single-threaded),7955776744,compute
DP Vector Add Peak,222761748832,compute
SP Vector Add Peak (single-threaded),15926365186,compute
SP Vector Add Peak,445938225208,compute
Scalar Add Peak (single-threaded),1990796649,compute
Scalar Add Peak,55742306172,compute
DP Vector FMA Peak (single-threaded),31837332257,compute
DP Vector FMA Peak,891445303196,compute
SP Vector FMA Peak (single-threaded),63704299608,compute
SP Vector FMA Peak,1783720389024,compute
L3 Bandwidth (single-threaded),22522307978,memory
L3 Bandwidth,630624623384,memory
L2 Bandwidth (single-threaded),59244063358,memory
L2 Bandwidth,1658833774024,memory
L1 Bandwidth (single-threaded),190754706801,memory
L1 Bandwidth,5341131790428,memory
DRAM Bandwidth (single-threaded),8626333600,memory
DRAM Bandwidth,124356830615,memory
