metric	total
time(s)	10.81
time.contribution%	100.0
calls	5000.0
cpi	1.407
ipc	0.71
front_bound%	1.817
front_bound.contribution%	1.817
bad_speculation%	0.052
bad_speculation.contribution%	0.052
retiring%	18.534
retiring.contribution%	18.534
be_bound%	79.597
be_bound.contribution%	79.597
core_bound%	15.873
core_bound.contribution%	15.873
mem_bound%	63.724
mem_bound.contribution%	63.724
l1_bound%	0
l3_latency%	8.066
l3_latency.contribution%	8.066
l3_data_sharing%	0.0
l3_data_sharing.contribution%	0.0
l3_contested_accesses%	0.0
l3_contested_accesses.contribution%	0.0
store_bound%	0.0
store_bound.contribution%	0.0
local_dram_bound%	100.686
local_dram_bound.contribution%	100.686
remote_dram_bound%	26.01
remote_dram_bound.contribution%	26.01
be_bound_at_exe%	79.328
resource_stalls_cost%	82.235
resource_stalls_cost.contribution%	82.235
instructions	1.51e+10
cycles	2.12e+10
