sep=,
Name,Bandwidth,Type
DP Vector Add Peak (single-threaded),7954133510,compute
DP Vector Add Peak,222715738280,compute
SP Vector Add Peak (single-threaded),15907399425,compute
SP Vector Add Peak,445407183900,compute
Scalar Add Peak (single-threaded),1990783679,compute
Scalar Add Peak,55741943012,compute
DP Vector FMA Peak (single-threaded),31853287829,compute
DP Vector FMA Peak,891892059212,compute
SP Vector FMA Peak (single-threaded),63676284181,compute
SP Vector FMA Peak,1782935957068,compute
L3 Bandwidth (single-threaded),21811062521,memory
L3 Bandwidth,610709750588,memory
L2 Bandwidth (single-threaded),62078684520,memory
L2 Bandwidth,1738203166560,memory
L1 Bandwidth (single-threaded),190665656099,memory
L1 Bandwidth,5338638370772,memory
DRAM Bandwidth (single-threaded),8677543850,memory
DRAM Bandwidth,124956805186,memory
