version	cc	vec	tcm	turns	signalLen	kernelLen	threads	time(ms)	std(%)
v1	na	na	na	500	50000	50000	1	4848.3	0.4
v1	na	na	na	500	100000	50000	2	6653.4	0.8
v1	na	na	na	500	200000	50000	4	12481.5	0.4
v1	na	na	na	500	400000	50000	8	23865.0	0.6
v1	na	na	na	500	700000	50000	14	40924.3	1.3
v1	na	na	na	500	1400000	50000	28	84519.0	0.3
v1	na	na	na	500	2800000	50000	56	209938.7	1.3
v2	g++	novec	notcm	500	50000	50000	1	13898.2	0.5
v2	g++	novec	notcm	500	100000	50000	2	17071.2	0.3
v2	g++	novec	notcm	500	200000	50000	4	14166.8	0.9
v2	g++	novec	notcm	500	400000	50000	8	14116.5	3.9
v2	g++	novec	notcm	500	700000	50000	14	26461.0	4.3
v2	g++	novec	notcm	500	1400000	50000	28	36337.0	7.3
v2	g++	novec	notcm	500	2800000	50000	56	76036.3	0.4
v2	g++	novec	tcm	500	50000	50000	1	13566.0	0.5
v2	g++	novec	tcm	500	100000	50000	2	17067.0	0.4
v2	g++	novec	tcm	500	200000	50000	4	14317.0	1.1
v2	g++	novec	tcm	500	400000	50000	8	13771.2	2.5
v2	g++	novec	tcm	500	700000	50000	14	25020.5	0.2
v2	g++	novec	tcm	500	1400000	50000	28	31664.8	0.3
v2	g++	novec	tcm	500	2800000	50000	56	70522.3	0.4
v2	g++	vec	notcm	500	50000	50000	1	13563.2	0.5
v2	g++	vec	notcm	500	100000	50000	2	16613.0	0.3
v2	g++	vec	notcm	500	200000	50000	4	13375.2	2.0
v2	g++	vec	notcm	500	400000	50000	8	12052.2	3.9
v2	g++	vec	notcm	500	700000	50000	14	24868.0	1.0
v2	g++	vec	notcm	500	1400000	50000	28	26883.2	0.6
v2	g++	vec	notcm	500	2800000	50000	56	62301.0	0.3
v2	g++	vec	tcm	500	50000	50000	1	13115.2	0.1
v2	g++	vec	tcm	500	100000	50000	2	16484.0	0.5
v2	g++	vec	tcm	500	200000	50000	4	13148.2	0.8
v2	g++	vec	tcm	500	400000	50000	8	11704.2	1.7
v2	g++	vec	tcm	500	700000	50000	14	23466.8	4.0
v2	g++	vec	tcm	500	1400000	50000	28	26635.8	0.8
v2	g++	vec	tcm	500	2800000	50000	56	54316.0	1.5
v2	icc	novec	notcm	500	50000	50000	1	13426.5	1.2
v2	icc	novec	notcm	500	100000	50000	2	30961.0	1.0
v2	icc	novec	notcm	500	200000	50000	4	33339.5	0.0
v2	icc	novec	notcm	500	400000	50000	8	70271.5	0.1
v2	icc	novec	notcm	500	700000	50000	14	154287.0	0.1
v2	icc	novec	notcm	500	1400000	50000	28	361693.5	0.9
v2	icc	novec	tcm	500	50000	50000	1	13290.5	1.2
v2	icc	novec	tcm	500	100000	50000	2	30568.2	0.1
v2	icc	novec	tcm	500	200000	50000	4	32392.5	0.1
v2	icc	novec	tcm	500	400000	50000	8	70384.0	0.1
v2	icc	novec	tcm	500	700000	50000	14	154191.8	0.2
