version	turns	points	slices	threads	time(ms)	std(%)
histogram_gpu_v0	1000	500000	100	512X1024	172.80	0.43
histogram_gpu_v0	1000	1000000	200	512X1024	266.20	0.55
histogram_gpu_v0	1000	2000000	400	512X1024	367.20	0.32
histogram_gpu_v0	1000	4000000	800	512X1024	503.20	0.08
histogram_gpu_v0	1000	7000000	1400	512X1024	752.80	0.10
histogram_gpu_v1	1000	500000	100	512X1024	137.40	0.87
histogram_gpu_v1	1000	1000000	200	512X1024	162.20	0.60
histogram_gpu_v1	1000	2000000	400	512X1024	215.00	0.29
histogram_gpu_v1	1000	4000000	800	512X1024	349.60	0.23
histogram_gpu_v1	1000	7000000	1400	512X1024	522.20	0.19
histogram_gpu_v2	1000	500000	100	512X1024	135.20	0.30
histogram_gpu_v2	1000	1000000	200	512X1024	161.80	0.46
histogram_gpu_v2	1000	2000000	400	512X1024	214.20	0.54
histogram_gpu_v2	1000	4000000	800	512X1024	346.60	0.14
histogram_gpu_v2	1000	7000000	1400	512X1024	519.60	0.09
histogram_v0	1000	500000	100	1	1554.82	0.10
histogram_v0	1000	1000000	200	2	3139.88	1.15
histogram_v0	1000	2000000	400	4	6232.08	0.06
histogram_v0	1000	4000000	800	8	12481.37	0.23
histogram_v0	1000	7000000	1400	14	22160.30	0.14
histogram_v1	1000	500000	100	1	7257.09	0.63
histogram_v1	1000	1000000	200	2	89662.16	3.93
histogram_v1	1000	2000000	400	4	182174.70	8.58
histogram_v1	1000	4000000	800	8	418556.28	7.35
histogram_v1	1000	7000000	1400	14	720067.81	9.36
histogram_v2	1000	500000	100	1	2368.32	0.19
histogram_v2	1000	1000000	200	2	2392.12	0.51
histogram_v2	1000	2000000	400	4	2391.02	0.43
histogram_v2	1000	4000000	800	8	2415.08	0.34
histogram_v2	1000	5000000	500	14	1751.58	0.05
histogram_v2	1000	5000000	5000	14	1817.51	0.48
histogram_v2	1000	5000000	50000	14	2812.38	0.40
histogram_v2	1000	5000000	500000	14	14826.87	0.20
histogram_v2	1000	7000000	1400	14	2418.38	0.55
histogram_v3	1000	500000	100	1	2358.27	0.10
histogram_v3	1000	1000000	200	2	2375.73	0.65
histogram_v3	1000	2000000	400	4	2390.07	0.71
histogram_v3	1000	4000000	800	8	2408.37	0.61
histogram_v3	1000	5000000	500	14	1762.77	0.36
histogram_v3	1000	5000000	5000	14	1789.59	0.28
histogram_v3	1000	5000000	50000	14	1965.44	0.87
histogram_v3	1000	5000000	500000	14	4822.32	2.96
histogram_v3	1000	7000000	1400	14	2439.42	0.19
histogram_v4	1000	500000	100	1	2262.19	1.25
histogram_v4	1000	1000000	200	2	2340.94	0.15
histogram_v4	1000	2000000	400	4	2342.65	1.29
histogram_v4	1000	4000000	800	8	2353.77	1.85
histogram_v4	1000	7000000	1400	14	2388.66	1.15
histogram_v5	1000	500000	100	1	1546.43	1.45
histogram_v5	1000	1000000	200	2	1586.04	1.09
histogram_v5	1000	2000000	400	4	1574.15	1.34
histogram_v5	1000	4000000	800	8	1616.41	1.86
histogram_v5	1000	7000000	1400	14	1637.27	1.28
histogram_v6	1000	500000	100	1	1559.93	3.80
histogram_v6	1000	1000000	200	2	1582.74	1.59
histogram_v6	1000	2000000	400	4	1622.49	2.69
histogram_v6	1000	4000000	800	8	1622.06	2.48
histogram_v6	1000	7000000	1400	14	1632.97	1.81
