sep=,
Name,Bandwidth,Type
DP Vector Add Peak (single-threaded),7961088116,compute
DP Vector Add Peak,222910467248,compute
SP Vector Add Peak (single-threaded),15916337251,compute
SP Vector Add Peak,445657443028,compute
Scalar Add Peak (single-threaded),1990283148,compute
Scalar Add Peak,55727928144,compute
DP Vector FMA Peak (single-threaded),31834030857,compute
DP Vector FMA Peak,891352863996,compute
SP Vector FMA Peak (single-threaded),63698635077,compute
SP Vector FMA Peak,1783561782156,compute
L3 Bandwidth (single-threaded),21763980018,memory
L3 Bandwidth,609391440504,memory
L2 Bandwidth (single-threaded),59403749155,memory
L2 Bandwidth,1663304976340,memory
L1 Bandwidth (single-threaded),190721216434,memory
L1 Bandwidth,5340194060152,memory
DRAM Bandwidth (single-threaded),8585052112,memory
DRAM Bandwidth,123664536899,memory
