version	cc	vec	tcm	turns	points	slices	threads	time(ms)	std(%)
v0	g++	novec	notcm	1000	500000	100	1	3843.7	0.9
v0	g++	novec	notcm	1000	1000000	200	2	3906.7	0.7
v0	g++	novec	notcm	1000	2000000	400	4	3908.0	0.7
v0	g++	novec	notcm	1000	4000000	800	8	3944.3	0.8
v0	g++	novec	notcm	1000	7000000	1400	14	4135.7	2.1
v0	g++	novec	tcm	1000	500000	100	1	3823.3	0.6
v0	g++	novec	tcm	1000	1000000	200	2	3919.0	0.5
v0	g++	novec	tcm	1000	2000000	400	4	3875.7	0.5
v0	g++	novec	tcm	1000	4000000	800	8	3953.0	0.4
v0	g++	novec	tcm	1000	7000000	1400	14	4401.0	3.7
v0	g++	vec	notcm	1000	500000	100	1	3348.0	0.2
v0	g++	vec	notcm	1000	1000000	200	2	3438.3	1.0
v0	g++	vec	notcm	1000	2000000	400	4	3439.3	1.2
v0	g++	vec	notcm	1000	4000000	800	8	3451.7	1.2
v0	g++	vec	notcm	1000	7000000	1400	14	3847.7	1.2
v0	g++	vec	tcm	1000	500000	100	1	3355.3	0.2
v0	g++	vec	tcm	1000	1000000	200	2	3458.0	1.1
v0	g++	vec	tcm	1000	2000000	400	4	3427.3	1.1
v0	g++	vec	tcm	1000	4000000	800	8	3441.0	1.3
v0	g++	vec	tcm	1000	7000000	1400	14	3997.0	1.1
v0	icc	vec	notcm	1000	500000	100	1	2764.7	0.1
v0	icc	vec	notcm	1000	1000000	200	2	2736.3	1.0
v0	icc	vec	notcm	1000	2000000	400	4	2746.0	1.7
v0	icc	vec	notcm	1000	4000000	800	8	2769.3	1.2
v0	icc	vec	notcm	1000	7000000	1400	14	3351.0	5.8
v0	icc	vec	tcm	1000	500000	100	1	2693.7	1.3
v0	icc	vec	tcm	1000	1000000	200	2	2681.0	0.6
v0	icc	vec	tcm	1000	2000000	400	4	2746.0	1.7
v0	icc	vec	tcm	1000	4000000	800	8	2706.3	1.5
v0	icc	vec	tcm	1000	7000000	1400	14	3577.7	3.2
v7	nvcc	na	na	1000	500000	100	512X1024	124.0	0.0
v7	nvcc	na	na	1000	1000000	200	512X1024	202.4	0.9
v7	nvcc	na	na	1000	2000000	400	512X1024	372.0	0.0
v7	nvcc	na	na	1000	4000000	800	512X1024	707.0	0.2
v7	nvcc	na	na	1000	7000000	1400	512X1024	1186.2	0.1
v7	nvcc	na	na	1000	14000000	2800	512X1024	2586.8	0.1
v7	nvcc	na	na	1000	28000000	5600	512X1024	5546.6	0.0
v1	g++	novec	notcm	1000	500000	100	1	2963.7	0.1
v1	g++	novec	notcm	1000	1000000	200	2	3124.3	0.9
v1	g++	novec	notcm	1000	2000000	400	4	3212.0	0.9
v1	g++	novec	notcm	1000	4000000	800	8	3260.3	3.3
v1	g++	novec	notcm	1000	7000000	1400	14	3661.0	1.7
v1	g++	novec	tcm	1000	500000	100	1	2961.7	0.5
v1	g++	novec	tcm	1000	1000000	200	2	7638.3	0.8
v1	g++	novec	tcm	1000	2000000	400	4	3165.0	2.1
v1	g++	novec	tcm	1000	4000000	800	8	8857.7	0.3
v1	g++	novec	tcm	1000	7000000	1400	14	3942.0	1.3
v1	g++	vec	notcm	1000	500000	100	1	2522.7	2.2
v1	g++	vec	notcm	1000	1000000	200	2	2640.3	3.4
v1	g++	vec	notcm	1000	2000000	400	4	2732.7	2.9
v1	g++	vec	notcm	1000	4000000	800	8	2896.3	3.8
v1	g++	vec	notcm	1000	7000000	1400	14	3356.7	1.4
v1	g++	vec	tcm	1000	500000	100	1	2538.7	1.5
v1	g++	vec	tcm	1000	1000000	200	2	6678.7	6.0
v1	g++	vec	tcm	1000	2000000	400	4	2737.0	3.5
v1	g++	vec	tcm	1000	4000000	800	8	7034.7	0.0
v1	g++	vec	tcm	1000	7000000	1400	14	3681.0	0.9
v1	icc	vec	notcm	1000	500000	100	1	3888.0	2.4
v1	icc	vec	notcm	1000	1000000	200	2	3899.0	1.7
v1	icc	vec	notcm	1000	2000000	400	4	3964.0	0.8
v1	icc	vec	notcm	1000	4000000	800	8	3918.3	1.9
v1	icc	vec	notcm	1000	7000000	1400	14	4476.3	0.2
v1	icc	vec	tcm	1000	500000	100	1	3896.3	2.5
v1	icc	vec	tcm	1000	1000000	200	2	3914.3	1.7
v1	icc	vec	tcm	1000	2000000	400	4	3932.0	2.1
v1	icc	vec	tcm	1000	4000000	800	8	3970.0	1.9
v1	icc	vec	tcm	1000	7000000	1400	14	4538.0	0.5
v2	g++	novec	notcm	1000	500000	100	1	3428.7	0.2
v2	g++	novec	notcm	1000	1000000	200	2	3465.0	0.1
v2	g++	novec	notcm	1000	2000000	400	4	3570.7	0.4
v2	g++	novec	notcm	1000	4000000	800	8	3645.0	0.3
v2	g++	novec	notcm	1000	7000000	1400	14	3851.3	1.6
v2	g++	novec	tcm	1000	500000	100	1	3423.0	0.1
v2	g++	novec	tcm	1000	1000000	200	2	3488.7	0.3
v2	g++	novec	tcm	1000	2000000	400	4	3536.7	0.3
v2	g++	novec	tcm	1000	4000000	800	8	3622.3	0.2
v2	g++	novec	tcm	1000	7000000	1400	14	4152.7	0.2
v2	g++	vec	notcm	1000	500000	100	1	2038.0	5.6
v2	g++	vec	notcm	1000	1000000	200	2	2221.0	0.1
v2	g++	vec	notcm	1000	2000000	400	4	2240.7	4.7
v2	g++	vec	notcm	1000	4000000	800	8	2318.0	3.6
v2	g++	vec	notcm	1000	7000000	1400	14	3223.7	1.9
v2	g++	vec	tcm	1000	500000	100	1	1954.7	4.1
v2	g++	vec	tcm	1000	1000000	200	2	2067.7	0.6
v2	g++	vec	tcm	1000	2000000	400	4	2133.3	2.4
v2	g++	vec	tcm	1000	4000000	800	8	2227.7	2.2
v2	g++	vec	tcm	1000	7000000	1400	14	3481.3	2.1
v2	icc	vec	notcm	1000	500000	100	1	4122.7	3.1
v2	icc	vec	notcm	1000	1000000	200	2	4263.7	2.3
v2	icc	vec	notcm	1000	2000000	400	4	4255.0	0.8
v2	icc	vec	notcm	1000	4000000	800	8	4396.0	4.8
v2	icc	vec	notcm	1000	7000000	1400	14	4518.3	5.0
v2	icc	vec	tcm	1000	500000	100	1	3755.7	0.8
v2	icc	vec	tcm	1000	1000000	200	2	3838.7	1.4
v2	icc	vec	tcm	1000	2000000	400	4	3957.0	0.7
v2	icc	vec	tcm	1000	4000000	800	8	4032.7	0.2
