version	cc	vec	tcm	turns	points	slices	threads	time(ms)	std(%)
v4	g++	novec	notcm	1000	500000	100	1	2950.8	0.3
v4	g++	novec	notcm	1000	1000000	200	2	3018.0	0.2
v4	g++	novec	notcm	1000	2000000	400	4	3039.4	0.1
v4	g++	novec	notcm	1000	4000000	800	8	3053.0	0.5
v4	g++	novec	notcm	1000	7000000	1400	14	3713.8	3.0
v4	g++	novec	tcm	1000	500000	100	1	2950.6	0.0
v4	g++	novec	tcm	1000	1000000	200	2	3000.2	0.1
v4	g++	novec	tcm	1000	2000000	400	4	3037.4	0.1
v4	g++	novec	tcm	1000	4000000	800	8	3043.2	0.1
v4	g++	novec	tcm	1000	7000000	1400	14	3941.0	1.5
v4	g++	vec	notcm	1000	500000	100	1	1890.4	4.7
v4	g++	vec	notcm	1000	1000000	200	2	1998.4	2.7
v4	g++	vec	notcm	1000	2000000	400	4	2290.4	6.1
v4	g++	vec	notcm	1000	4000000	800	8	2265.8	4.9
v4	g++	vec	notcm	1000	7000000	1400	14	3143.0	3.6
v4	g++	vec	tcm	1000	500000	100	1	1800.2	4.1
v4	g++	vec	tcm	1000	1000000	200	2	1926.2	1.5
v4	g++	vec	tcm	1000	2000000	400	4	2036.0	0.2
v4	g++	vec	tcm	1000	4000000	800	8	2038.2	0.2
v4	g++	vec	tcm	1000	7000000	1400	14	3529.0	0.9
v4	icc	vec	notcm	1000	500000	100	1	3492.2	3.0
v4	icc	vec	notcm	1000	1000000	200	2	3636.2	3.4
v4	icc	vec	notcm	1000	2000000	400	4	3770.0	3.9
v4	icc	vec	notcm	1000	4000000	800	8	3885.2	2.5
v4	icc	vec	notcm	1000	7000000	1400	14	3989.8	1.6
v4	icc	vec	tcm	1000	500000	100	1	3031.0	0.1
v4	icc	vec	tcm	1000	1000000	200	2	2955.8	2.5
v4	icc	vec	tcm	1000	2000000	400	4	3163.0	2.5
v4	icc	vec	tcm	1000	4000000	800	8	3246.2	4.5
v4	icc	vec	tcm	1000	7000000	1400	14	3775.2	4.9
