version	cc	vec	tcm	turns	points	slices	threads	time(ms)	std(%)
v10-p100	nvcc	na	na	1000	500000	100	512X1024	31.2	2.4
v10-p100	nvcc	na	na	1000	1000000	200	512X1024	54.2	5.0
v10-p100	nvcc	na	na	1000	2000000	400	512X1024	85.0	3.2
v10-p100	nvcc	na	na	1000	4000000	800	512X1024	142.8	1.6
v10-p100	nvcc	na	na	1000	7000000	1400	512X1024	235.0	0.9
v10-p100	nvcc	na	na	1000	14000000	2800	512X1024	456.8	0.7
v10-p100	nvcc	na	na	1000	28000000	5600	512X1024	1298.4	0.1
v7-p100	nvcc	na	na	1000	500000	100	512X1024	45.4	6.8
v7-p100	nvcc	na	na	1000	1000000	200	512X1024	71.8	2.0
v7-p100	nvcc	na	na	1000	2000000	400	512X1024	132.0	3.6
v7-p100	nvcc	na	na	1000	4000000	800	512X1024	240.0	0.6
v7-p100	nvcc	na	na	1000	7000000	1400	512X1024	409.2	0.4
v7-p100	nvcc	na	na	1000	14000000	2800	512X1024	841.2	0.6
v7-p100	nvcc	na	na	1000	28000000	5600	512X1024	2369.8	0.0
v9-p100	nvcc	na	na	1000	500000	100	512X1024	46.2	5.0
v9-p100	nvcc	na	na	1000	1000000	200	512X1024	68.6	3.0
v9-p100	nvcc	na	na	1000	2000000	400	512X1024	118.4	1.0
v9-p100	nvcc	na	na	1000	4000000	800	512X1024	210.0	1.4
v9-p100	nvcc	na	na	1000	7000000	1400	512X1024	361.2	0.3
v9-p100	nvcc	na	na	1000	14000000	2800	512X1024	852.8	0.2
v9-p100	nvcc	na	na	1000	28000000	5600	512X1024	2293.0	0.1
