
General Exploration Metrics
---------------------------
Parameter	r004ge0
Clockticks	68180276424
Instructions Retired	90318819901
CPI Rate	0.755
MUX Reliability	0.994
Front-End Bound	2.4%
 Front-End Latency	0.0%
  ICache Misses	0.0%
  ITLB Overhead	0.0%
  Branch Resteers	0.4%
  DSB Switches	0.0%
  Length Changing Prefixes	0.0%
  MS Switches	0.0%
 Front-End Bandwidth	2.4%
  Front-End Bandwidth MITE	0.2%
  Front-End Bandwidth DSB	0.7%
  Front-End Bandwidth LSD	8.2%
  (Info) DSB Coverage	10.4%
  (Info) LSD Coverage	89.3%
Bad Speculation	0.4%
 Branch Mispredict	0.4%
 Machine Clears	0.0%
Back-End Bound	48.3%
Retiring	49.0%
 General Retirement	48.9%
 Microcode Sequencer	0.1%
  Assists	0.0%

Collection and Platform Info
----------------------------
Parameter	r004ge0
Application Command Line	/afs/cern.ch/work/k/kiliakis/git/blond-benchmark/convolution/exe/bench0.exe 1000 10000 10000 1
Operating System	3.10.0-693.5.2.el7.x86_64 NAME="CentOS Linux"
VERSION="7 (Core)"
ID="centos"
ID_LIKE="rhel fedora"
VERSION_ID="7"
PRETTY_NAME="CentOS Linux 7 (Core)"
ANSI_COLOR="0;31"
CPE_NAME="cpe:/o:centos:centos:7"
HOME_URL="http://cern.ch/linux/"
BUG_REPORT_URL="http://cern.ch/linux/"

CENTOS_MANTISBT_PROJECT="CentOS-7"
CENTOS_MANTISBT_PROJECT_VERSION="7"
REDHAT_SUPPORT_PRODUCT="centos"
REDHAT_SUPPORT_PRODUCT_VERSION="7"

Computer Name	olhswep19.cern.ch
Result Size	101910198
Collection start time	13:39:34 01/02/2018 UTC
Collection stop time	13:40:09 01/02/2018 UTC

CPU
---
Parameter	r004ge0
Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
Frequency	1995381009
Logical CPU Count	56

Summary
-------
Elapsed Time:	35.049125
Paused Time:	0.0
CPU Time:	34.139459
Average CPU Usage:	0.582890
CPI Rate:	0.754884

Event summary
-------------
Hardware Event Type	Hardware Event Count:Self	Hardware Event Sample Count:Self	Events Per Sample
INST_RETIRED.ANY	90318819901	110524	2000000
CPU_CLK_UNHALTED.THREAD	68180276424	109076	2000000
CPU_CLK_UNHALTED.REF_TSC	68121228640	181446	2000000
OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE	0	0	100003
OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM	0	0	100003
CYCLE_ACTIVITY.STALLS_L1D_PENDING	6048178542	145	2000003
ARITH.DIVIDER_UOPS	0	0	2000003
Syscalls	0	0	0
Syscalls Time	0	0	0
BACLEARS.ANY	0	0	100003
BR_MISP_RETIRED.ALL_BRANCHES_PS	8400189	2	400009
L1D_PEND_MISS.PENDING	189998869788	4524	2000003
CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE	3377464944	1608	100000
CPU_CLK_UNHALTED.REF_XCLK	3391552857	1615	100000
CPU_CLK_UNHALTED.THREAD_P	67747046556	1613	2000003
CYCLE_ACTIVITY.CYCLES_NO_EXECUTE	7857578106	188	2000003
CYCLE_ACTIVITY.STALLS_L2_PENDING	210024360	6	2000003
CYCLE_ACTIVITY.STALLS_LDM_PENDING	7392456708	177	2000003
DSB2MITE_SWITCHES.PENALTY_CYCLES	0	0	2000003
DTLB_LOAD_MISSES.STLB_HIT	0	0	2000003
DTLB_LOAD_MISSES.WALK_DURATION	0	0	2000003
DTLB_STORE_MISSES.STLB_HIT	0	0	100003
DTLB_STORE_MISSES.WALK_DURATION	0	0	100003
ICACHE.IFDATA_STALL	0	0	2000003
IDQ.ALL_DSB_CYCLES_4_UOPS	3150050148	76	2000003
IDQ.ALL_DSB_CYCLES_ANY_UOPS	3612063966	87	2000003
IDQ.ALL_MITE_CYCLES_4_UOPS	0	1	2000003
IDQ.ALL_MITE_CYCLES_ANY_UOPS	168054579	5	2000003
IDQ.DSB_UOPS	13692905772	327	2000003
IDQ.MITE_UOPS	168104622	5	2000003
IDQ.MS_SWITCHES	0	0	2000003
IDQ.MS_UOPS	252178731	7	2000003
IDQ_UOPS_NOT_DELIVERED.CORE	6553816353	157	2000003
IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE	0	0	2000003
ILD_STALL.LCP	0	0	2000003
INT_MISC.RECOVERY_CYCLES	84004473	3	2000003
ITLB_MISSES.STLB_HIT	0	0	100003
ITLB_MISSES.WALK_COMPLETED	0	0	100003
INST_RETIRED.PREC_DIST	90223085694	2149	2000003
ITLB_MISSES.WALK_DURATION	0	0	100003
L1D_PEND_MISS.REQUEST_FB_FULL	4956020202	119	2000003
L2_RQSTS.RFO_HIT	0	0	200003
LD_BLOCKS.NO_SR	21000651	11	100003
LD_BLOCKS.STORE_FORWARD	0	0	100003
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS	0	1	100003
LSD.CYCLES_4_UOPS	25200287322	601	2000003
LSD.CYCLES_ACTIVE	30786416073	734	2000003
LSD.UOPS	117773672499	2805	2000003
MACHINE_CLEARS.COUNT	0	0	100003
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS	0	0	20011
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS	0	0	20011
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS	0	0	20011
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS	0	0	100003
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS	0	0	100003
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS	0	0	100003
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS	0	0	100003
MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS	6999855996	3334	100003
MEM_LOAD_UOPS_RETIRED.L1_HIT_PS	21756145152	519	2000003
MEM_LOAD_UOPS_RETIRED.L1_MISS	19723689027	9391	100003
MEM_LOAD_UOPS_RETIRED.L2_HIT_PS	19619215707	9342	100003
MEM_LOAD_UOPS_RETIRED.L3_HIT_PS	100861887	97	50021
MEM_LOAD_UOPS_RETIRED.L3_MISS_PS	0	0	100003
MEM_UOPS_RETIRED.ALL_STORES_PS	126017388	4	2000003
MEM_UOPS_RETIRED.LOCK_LOADS_PS	0	0	100003
MEM_UOPS_RETIRED.SPLIT_LOADS_PS	9343180287	4450	100003
MEM_UOPS_RETIRED.SPLIT_STORES_PS	0	0	100003
MEM_UOPS_RETIRED.STLB_MISS_LOADS_PS	0	0	100003
MEM_UOPS_RETIRED.STLB_MISS_STORES_PS	0	0	100003
OFFCORE_REQUESTS_BUFFER.SQ_FULL	0	0	2000003
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD	14413379463	344	2000003
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	64930936812	1546	2000003
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	49596018864	1181	2000003
OTHER_ASSISTS.ANY_WB_ASSIST	0	0	100003
RESOURCE_STALLS.SB	0	1	2000003
RS_EVENTS.EMPTY_CYCLES	126049014	4	2000003
RS_EVENTS.EMPTY_END	8402226	3	200003
UOPS_DISPATCHED_PORT.PORT_0	14407765449	344	2000003
UOPS_DISPATCHED_PORT.PORT_1	18691459185	446	2000003
UOPS_DISPATCHED_PORT.PORT_2	25284668262	603	2000003
UOPS_DISPATCHED_PORT.PORT_3	25284739452	603	2000003
UOPS_DISPATCHED_PORT.PORT_4	84006573	3	2000003
UOPS_DISPATCHED_PORT.PORT_5	25621975848	611	2000003
UOPS_DISPATCHED_PORT.PORT_6	24742254705	590	2000003
UOPS_DISPATCHED_PORT.PORT_7	0	0	2000003
UOPS_EXECUTED.CORE	126154271628	3006	2000003
UOPS_ISSUED.ANY	133940680629	3188	2000003
UOPS_RETIRED.RETIRE_SLOTS	133223140134	3171	2000003
