version	cc	vec	turns	points	n_rf	threads	time(ms)	std(%)
v0	g++	novec	500	1000000	1	1	12587.7	0.0
v0	g++	novec	500	2000000	1	2	12791.3	0.1
v0	g++	novec	500	4000000	1	4	9219.7	0.2
v0	g++	novec	500	8000000	1	8	13125.3	0.4
v0	g++	novec	500	14000000	1	14	10510.7	0.6
v0	g++	novec	500	28000000	1	28	17062.3	11.0
v0	g++	novec	500	56000000	1	56	26952.3	0.1
v0	g++	vec	500	1000000	1	1	12002.3	0.2
v0	g++	vec	500	2000000	1	2	12181.0	0.1
v0	g++	vec	500	4000000	1	4	8741.0	0.1
v0	g++	vec	500	8000000	1	8	12571.0	0.0
v0	g++	vec	500	14000000	1	14	10323.7	2.3
v0	g++	vec	500	28000000	1	28	16392.3	11.6
v0	g++	vec	500	56000000	1	56	26678.3	0.2
v0	icc	novec	500	1000000	1	1	8953.3	0.7
v0	icc	novec	500	2000000	1	2	8935.0	0.2
v0	icc	novec	500	4000000	1	4	8945.0	0.0
v0	icc	novec	500	8000000	1	8	9433.0	0.5
v0	icc	novec	500	14000000	1	14	10155.7	0.3
v0	icc	novec	500	28000000	1	28	11874.3	0.6
v0	icc	novec	500	56000000	1	56	24346.0	14.2
v0	icc	vec	500	1000000	1	1	1844.3	0.4
v0	icc	vec	500	2000000	1	2	1860.0	0.3
v0	icc	vec	500	4000000	1	4	1869.3	1.7
v0	icc	vec	500	8000000	1	8	2732.0	2.9
v0	icc	vec	500	14000000	1	14	4149.7	4.0
v0	icc	vec	500	28000000	1	28	7511.3	2.1
v0	icc	vec	500	56000000	1	56	13854.0	4.3
v7	nvcc	na	500	1000000	1	512X64	144.3	0.3
v8	nvcc	na	500	1000000	1	512X64	142.3	0.3
v7	nvcc	na	500	2000000	1	512X64	289.7	0.2
v8	nvcc	na	500	2000000	1	512X64	285.0	0.0
v7	nvcc	na	500	4000000	1	512X64	577.0	0.0
v8	nvcc	na	500	4000000	1	512X64	564.7	0.1
v7	nvcc	na	500	8000000	1	512X64	1153.0	0.0
v8	nvcc	na	500	8000000	1	512X64	1130.3	0.0
v7	nvcc	na	500	14000000	1	512X64	2024.0	0.0
v8	nvcc	na	500	14000000	1	512X64	1986.0	0.0
v7	nvcc	na	500	28000000	1	512X64	4078.3	0.0
v8	nvcc	na	500	28000000	1	512X64	3964.0	0.0
