version	cc	vec	turns	points	n_rf	threads	time(ms)	std(%)
v7-p100	nvcc	na	500	1000000	1	512X64	51.0	2.8
v7-p100	nvcc	na	500	2000000	1	512X64	96.0	1.7
v7-p100	nvcc	na	500	4000000	1	512X64	182.3	0.7
v7-p100	nvcc	na	500	8000000	1	512X64	354.0	0.0
v7-p100	nvcc	na	500	14000000	1	512X64	616.0	0.1
v7-p100	nvcc	na	500	28000000	1	512X64	1233.3	0.0
v7-p100	nvcc	na	500	56000000	1	512X64	2473.3	0.1
v8-p100	nvcc	na	500	1000000	1	512X64	47.7	1.0
v8-p100	nvcc	na	500	2000000	1	512X64	85.7	0.6
v8-p100	nvcc	na	500	4000000	1	512X64	164.7	0.3
v8-p100	nvcc	na	500	8000000	1	512X64	319.7	0.1
v8-p100	nvcc	na	500	14000000	1	512X64	552.7	0.2
v8-p100	nvcc	na	500	28000000	1	512X64	1099.3	0.1
v8-p100	nvcc	na	500	56000000	1	512X64	2195.0	0.0
