version	cc	vec	turns	points	n_rf	threads	time(ms)	std(%)
v0	g++	vec	5000	100000	1	1	12962.0	8.2
v0	g++	vec	5000	200000	1	1	24317.3	0.1
v0	g++	vec	5000	500000	1	1	42754.7	0.1
v0	g++	vec	5000	1000000	1	1	120074.7	0.1
v0	g++	vec	5000	2000000	1	1	242601.3	0.1
v0	g++	vec	5000	5000000	1	1	628855.0	1.0
v0	icc	novec	5000	100000	1	1	12238.0	0.3
v0	icc	novec	5000	200000	1	1	24326.7	0.1
v0	icc	novec	5000	500000	1	1	42843.3	0.0
v0	icc	novec	5000	1000000	1	1	120224.7	0.2
v0	icc	novec	5000	2000000	1	1	243182.0	0.0
v0	icc	novec	5000	5000000	1	1	624522.0	0.0
v0	icc	vec	5000	100000	1	1	1763.3	0.2
v0	icc	vec	5000	200000	1	1	3509.7	0.2
v0	icc	vec	5000	500000	1	1	8744.7	0.1
v0	icc	vec	5000	1000000	1	1	17473.3	0.0
v0	icc	vec	5000	2000000	1	1	35076.3	0.0
v0	icc	vec	5000	5000000	1	1	104240.0	0.8
v2	g++	vec	5000	100000	1	1	3003.7	1.1
v2	g++	vec	5000	200000	1	1	5877.7	0.6
v2	g++	vec	5000	500000	1	1	14574.7	0.6
v2	g++	vec	5000	1000000	1	1	29075.0	0.2
v2	g++	vec	5000	2000000	1	1	58421.7	0.3
v2	g++	vec	5000	5000000	1	1	161803.7	0.2
v2	icc	vec	5000	100000	1	1	3008.7	2.4
v2	icc	vec	5000	200000	1	1	5864.3	0.2
v2	icc	vec	5000	500000	1	1	14735.3	0.7
v2	icc	vec	5000	1000000	1	1	29130.3	0.1
v2	icc	vec	5000	2000000	1	1	58748.0	0.8
v2	icc	vec	5000	5000000	1	1	159876.3	0.2
