version	cc	vec	tcm	turns	points	threads	time(ms)	std(%)
v0	g++	vec	notcm	500	500000	1	17820.7	0.1
v0	g++	vec	notcm	500	1000000	2	49856.3	8.7
v0	g++	vec	notcm	500	2000000	4	119109.3	2.4
v0	g++	vec	notcm	500	4000000	8	223537.0	4.2
v0	g++	vec	notcm	500	7000000	14	435121.3	10.9
v0	g++	vec	notcm	500	14000000	28	916783.7	12.1
v0	g++	vec	notcm	500	28000000	56	1158729.3	13.8
v0	icc	vec	notcm	500	500000	1	24955.0	0.1
v0	icc	vec	notcm	500	1000000	2	30709.3	2.4
v0	icc	vec	notcm	500	2000000	4	57498.7	5.5
v0	icc	vec	notcm	500	4000000	8	101921.0	6.0
v0	icc	vec	notcm	500	7000000	14	169865.3	4.3
v0	icc	vec	notcm	500	14000000	28	377808.3	5.3
v0	icc	vec	notcm	500	28000000	56	550382.0	1.1
v1	g++	novec	notcm	500	500000	1	5062.7	0.1
v1	g++	novec	notcm	500	1000000	2	5105.7	0.1
v1	g++	novec	notcm	500	2000000	4	5115.7	0.2
v1	g++	novec	notcm	500	4000000	8	5116.3	0.2
v1	g++	novec	notcm	500	7000000	14	5131.0	0.2
v1	g++	novec	notcm	500	14000000	28	5406.7	0.1
v1	g++	novec	notcm	500	28000000	56	9680.7	0.7
v1	g++	vec	notcm	500	500000	1	3699.7	0.5
v1	g++	vec	notcm	500	1000000	2	3726.7	0.1
v1	g++	vec	notcm	500	2000000	4	3719.3	0.2
v1	g++	vec	notcm	500	4000000	8	3762.0	0.1
v1	g++	vec	notcm	500	7000000	14	3783.3	0.8
v1	g++	vec	notcm	500	14000000	28	3972.3	0.4
v1	g++	vec	notcm	500	28000000	56	9040.0	17.1
v1	icc	novec	notcm	500	500000	1	5210.0	0.0
v1	icc	novec	notcm	500	1000000	2	5242.0	0.0
v1	icc	novec	notcm	500	2000000	4	5248.0	0.1
v1	icc	novec	notcm	500	4000000	8	5274.0	0.6
v1	icc	novec	notcm	500	7000000	14	5271.0	0.5
v1	icc	novec	notcm	500	14000000	28	5479.7	0.9
v1	icc	novec	notcm	500	28000000	56	9619.3	1.4
v1	icc	vec	notcm	500	500000	1	4346.0	0.5
v1	icc	vec	notcm	500	1000000	2	4348.3	0.3
v1	icc	vec	notcm	500	2000000	4	4398.7	0.3
v1	icc	vec	notcm	500	4000000	8	4411.7	0.1
v1	icc	vec	notcm	500	7000000	14	4406.7	0.2
v1	icc	vec	notcm	500	14000000	28	5312.3	18.4
v1	icc	vec	notcm	500	28000000	56	7960.3	1.3
v2	g++	novec	notcm	500	500000	1	5131.0	0.3
v2	g++	novec	notcm	500	1000000	2	5155.0	0.1
v2	g++	novec	notcm	500	2000000	4	5160.3	0.2
v2	g++	novec	notcm	500	4000000	8	5170.3	0.1
v2	g++	novec	notcm	500	7000000	14	5227.0	0.1
v2	g++	novec	notcm	500	14000000	28	5461.7	0.2
v2	g++	novec	notcm	500	28000000	56	9620.7	0.1
v2	g++	vec	notcm	500	500000	1	3525.3	0.3
v2	g++	vec	notcm	500	1000000	2	3560.7	0.6
v2	g++	vec	notcm	500	2000000	4	3541.3	0.2
v2	g++	vec	notcm	500	4000000	8	3551.7	0.0
v2	g++	vec	notcm	500	7000000	14	3548.7	0.3
v2	g++	vec	notcm	500	14000000	28	3807.0	0.4
v2	g++	vec	notcm	500	28000000	56	7328.3	0.8
v2	icc	novec	notcm	500	500000	1	5277.7	0.4
v2	icc	novec	notcm	500	1000000	2	5296.0	0.0
v2	icc	novec	notcm	500	2000000	4	5302.0	0.1
v2	icc	novec	notcm	500	4000000	8	5297.0	0.0
v2	icc	novec	notcm	500	7000000	14	5308.0	0.1
v2	icc	novec	notcm	500	14000000	28	5548.0	0.5
v2	icc	novec	notcm	500	28000000	56	9839.3	0.2
v2	icc	vec	notcm	500	500000	1	4366.3	0.2
v2	icc	vec	notcm	500	1000000	2	4389.7	0.1
v2	icc	vec	notcm	500	2000000	4	4387.0	0.2
v2	icc	vec	notcm	500	4000000	8	4390.7	0.2
v2	icc	vec	notcm	500	7000000	14	4443.7	0.2
v2	icc	vec	notcm	500	14000000	28	4624.7	0.3
v2	icc	vec	notcm	500	28000000	56	8790.3	0.2
v3	icc	novec	notcm	500	500000	1	1831.7	0.2
v3	icc	novec	notcm	500	1000000	2	1818.0	1.8
v3	icc	novec	notcm	500	2000000	4	1923.3	1.4
v3	icc	novec	notcm	500	4000000	8	1935.3	1.4
v3	icc	novec	notcm	500	7000000	14	3481.7	1.3
v3	icc	novec	notcm	500	14000000	28	7491.7	0.6
v3	icc	novec	notcm	500	28000000	56	16099.7	1.1
v3	icc	novec	tcm	500	500000	1	1746.3	0.2
v3	icc	novec	tcm	500	1000000	2	1761.7	0.5
v3	icc	novec	tcm	500	2000000	4	1795.0	1.2
v3	icc	novec	tcm	500	4000000	8	1842.7	1.8
v3	icc	novec	tcm	500	7000000	14	2876.7	1.9
v3	icc	novec	tcm	500	14000000	28	7167.7	1.8
v3	icc	novec	tcm	500	28000000	56	13883.3	1.7
v3	icc	vec	notcm	500	500000	1	1745.0	0.4
v3	icc	vec	notcm	500	1000000	2	1689.0	2.9
v3	icc	vec	notcm	500	2000000	4	1800.7	0.3
v3	icc	vec	notcm	500	4000000	8	1858.3	1.5
v3	icc	vec	notcm	500	7000000	14	3405.7	1.8
v3	icc	vec	notcm	500	14000000	28	7365.3	1.8
v3	icc	vec	notcm	500	28000000	56	16143.3	0.3
v3	icc	vec	tcm	500	500000	1	1638.7	0.2
v3	icc	vec	tcm	500	1000000	2	1653.0	0.3
v3	icc	vec	tcm	500	2000000	4	1707.0	1.5
v3	icc	vec	tcm	500	4000000	8	1768.0	2.1
v3	icc	vec	tcm	500	7000000	14	2857.0	1.5
v3	icc	vec	tcm	500	14000000	28	6911.0	0.6
v3	icc	vec	tcm	500	28000000	56	13631.3	1.1
v4	icc	vec	tcm	500	500000	1	1023.3	0.9
v4	icc	vec	tcm	500	1000000	2	853.7	0.3
v4	icc	vec	tcm	500	2000000	4	785.3	0.1
v4	icc	vec	tcm	500	4000000	8	768.0	5.1
v4	icc	vec	tcm	500	7000000	14	777.3	1.5
v4	icc	vec	tcm	500	14000000	28	797.0	1.4
v4	icc	vec	tcm	500	28000000	56	4357.7	7.1
v6	g++	vec	notcm	500	500000	1	3089.7	0.3
v6	g++	vec	notcm	500	1000000	2	3113.7	0.1
v6	g++	vec	notcm	500	2000000	4	3121.3	0.1
v6	g++	vec	notcm	500	4000000	8	3122.3	0.1
v6	g++	vec	notcm	500	7000000	14	3169.0	0.5
v6	g++	vec	notcm	500	14000000	28	3193.0	0.5
v6	g++	vec	notcm	500	28000000	56	5729.7	0.2
v6	icc	vec	notcm	500	500000	1	4313.3	0.2
v6	icc	vec	notcm	500	1000000	2	4326.3	0.2
v6	icc	vec	notcm	500	2000000	4	4329.3	0.1
v6	icc	vec	notcm	500	4000000	8	4325.7	0.1
v6	icc	vec	notcm	500	7000000	14	4389.3	1.3
v6	icc	vec	notcm	500	14000000	28	4447.3	0.3
v6	icc	vec	notcm	500	28000000	56	7735.0	0.3
v7	g++	vec	notcm	500	500000	1	9313.0	0.1
v7	g++	vec	notcm	500	1000000	2	29055.0	4.4
v7	g++	vec	notcm	500	2000000	4	57893.7	0.3
v7	g++	vec	notcm	500	4000000	8	116137.3	1.4
v7	g++	vec	notcm	500	7000000	14	211009.7	3.8
v7	g++	vec	notcm	500	14000000	28	415994.7	3.6
v7	g++	vec	notcm	500	28000000	56	932161.0	3.2
v7	icc	novec	notcm	500	500000	1	1508.0	0.2
v7	icc	novec	notcm	500	1000000	2	1518.7	0.1
v7	icc	novec	notcm	500	2000000	4	1534.3	0.7
v7	icc	novec	notcm	500	4000000	8	1560.0	0.0
v7	icc	novec	notcm	500	7000000	14	1580.7	0.4
v7	icc	novec	notcm	500	14000000	28	2765.0	1.9
v7	icc	novec	notcm	500	28000000	56	4498.3	6.7
v7	icc	novec	tcm	500	500000	1	1513.7	0.3
v7	icc	novec	tcm	500	1000000	2	1515.7	0.3
v7	icc	novec	tcm	500	2000000	4	1587.3	2.1
v7	icc	novec	tcm	500	4000000	8	1614.7	0.4
v7	icc	novec	tcm	500	7000000	14	1658.7	0.5
v7	icc	novec	tcm	500	14000000	28	2613.3	4.2
v7	icc	novec	tcm	500	28000000	56	5355.3	9.4
v7	icc	vec	notcm	500	500000	1	20943.0	0.0
v7	icc	vec	notcm	500	500000	1	1466.7	0.1
v7	icc	vec	notcm	500	1000000	2	23032.0	0.5
v7	icc	vec	notcm	500	1000000	2	1473.0	0.1
v7	icc	vec	notcm	500	2000000	4	47083.0	6.9
v7	icc	vec	notcm	500	2000000	4	1482.3	0.1
v7	icc	vec	notcm	500	4000000	8	87427.0	1.9
v7	icc	vec	notcm	500	4000000	8	1503.0	0.5
v7	icc	vec	notcm	500	7000000	14	155878.3	5.9
v7	icc	vec	notcm	500	7000000	14	1533.7	0.7
v7	icc	vec	notcm	500	14000000	28	310784.3	3.6
v7	icc	vec	notcm	500	14000000	28	2771.7	4.2
v7	icc	vec	notcm	500	28000000	56	556192.3	6.1
v7	icc	vec	notcm	500	28000000	56	4524.0	4.4
v7	icc	vec	tcm	500	500000	1	1471.7	0.3
v7	icc	vec	tcm	500	1000000	2	1470.7	0.2
v7	icc	vec	tcm	500	2000000	4	1546.0	1.6
v7	icc	vec	tcm	500	4000000	8	1568.3	0.2
v7	icc	vec	tcm	500	7000000	14	1618.3	0.6
v7	icc	vec	tcm	500	14000000	28	2524.0	8.5
v7	icc	vec	tcm	500	28000000	56	5568.3	1.9
