version	cc	vec	tcm	turns	points	threads	time(ms)	std(%)
v0	g++	vec	notcm	5000	100000	1	34706.0	0.0
v0	g++	vec	notcm	5000	200000	1	69265.0	0.1
v0	g++	vec	notcm	5000	500000	1	173141.3	0.1
v0	g++	vec	notcm	5000	1000000	1	346113.3	0.2
v0	g++	vec	notcm	5000	2000000	1	692536.0	0.0
v0	g++	vec	notcm	5000	5000000	1	1731507.3	0.0
v1	g++	vec	notcm	5000	100000	1	7781.3	1.9
v1	g++	vec	notcm	5000	200000	1	15310.0	0.2
v1	g++	vec	notcm	5000	500000	1	38342.3	0.2
v1	g++	vec	notcm	5000	1000000	1	76467.0	0.3
v1	g++	vec	notcm	5000	2000000	1	153461.7	0.1
v1	g++	vec	notcm	5000	5000000	1	384776.0	0.0
v7	icc	vec	notcm	5000	100000	1	3857.0	0.0
v7	icc	vec	notcm	5000	200000	1	5782.0	0.0
v7	icc	vec	notcm	5000	500000	1	14280.0	0.0
v7	icc	vec	notcm	5000	1000000	1	28533.0	0.0
v7	icc	vec	notcm	5000	2000000	1	57104.0	0.0
v7	icc	vec	notcm	5000	5000000	1	147811.0	0.0
